Day fraction since midnight on 	photometer (volts)	photometer (mg/L)
0.6295487398	1.9563915730	1.9547855854
0.6296066170	1.9596602917	1.9534761906
0.6296644710	2.0037820339	1.9358527660
0.6297223482	1.9629600048	1.9521548748
0.6297802253	1.9565207958	1.9547338486
0.6298380791	1.9768458605	1.9466004372
0.6298959590	2.0311472416	1.9249702692
0.6299538362	1.9849984646	1.9433437586
0.6300116901	2.0068109035	1.9346464872
0.6300695674	2.0002658367	1.9372537136
0.6301274442	2.0183005333	1.9300745726
0.6301852986	2.0202875137	1.9292845726
0.6302431780	2.0136983395	1.9319050312
0.6303010590	2.0057735443	1.9350595474
0.6303589131	2.0334241390	1.9240664244
0.6304167903	1.9929544926	1.9401687384
0.6304746446	1.9614472389	1.9527605772
0.6305325449	2.0148451328	1.9314488173
0.6305903989	1.9798861742	1.9453855753
0.6306482530	1.9454970360	1.9591536522
0.6307061530	1.9539483786	1.9557646513
0.6307640129	1.9438807964	1.9598021507
0.6308218667	1.9398236275	1.9614306688
0.6308797323	1.9684511423	1.9499572515
0.6309376154	1.9533363581	1.9560099840
0.6309954922	1.9000694752	1.9774304628
0.6310533694	1.9480535984	1.9581280947
0.6311112119	1.9507246017	1.9570569992
0.6311690894	1.9667627811	1.9506328106
0.6312269662	1.9465955496	1.9587129354
0.6312848434	1.9151341915	1.9713581800
0.6313427138	1.8831312656	1.9842712879
0.6314005930	1.8839690685	1.9839326143
0.6314584474	1.8937507868	1.9799807072
0.6315163011	1.8861269951	1.9830603600
0.6315741783	1.9136743546	1.9719461203
0.6316320604	1.8828688860	1.9843773842
0.6316899191	1.8991912603	1.9777847528
0.6317477988	1.8955806494	1.9792419672
0.6318056529	1.9578464031	1.9542027712
0.6318635340	1.8907307386	1.9812003374
0.6319214112	1.9179214239	1.9702359438
0.6319792656	2.0020177364	1.9365556240
0.6320371427	2.0248279572	1.9274801016
0.6320950196	2.0285506248	1.9260013103
0.6321528967	1.9289324284	1.9658062458
0.6322107511	1.9282302856	1.9660885334
0.6322686280	1.9093337059	1.9736949205
0.6323264821	1.8846151829	1.9836714268
0.6323843596	1.8893719912	1.9817491770
0.6324422251	1.8039519787	2.0164389610
