Day fraction since midnight on 	photometer (volts)	photometer (mg/L)
0.6044910057	-0.0036635993	2.8427021503
0.6045488633	-0.0253734160	2.8537826538
0.6046067406	-0.0247319434	2.8534548283
0.6046646175	-0.0168851018	2.8494467735
0.6047224950	-0.0331748016	2.8577716351
0.6047803741	-0.0398106575	2.8611676693
0.6048382282	-0.0468570776	2.8647768497
0.6048960824	-0.0830643922	2.8833715916
0.6049539598	-0.0966377333	2.8903636932
0.6050118370	-0.1046594605	2.8945014477
0.6050697140	-0.1188780740	2.9018456936
0.6051275684	-0.1389865279	2.9122540951
0.6051854457	-0.1500747502	2.9180045128
0.6052433228	-0.1533814222	2.9197208881
0.6053011767	-0.1757093519	2.9313287735
0.6053590542	-0.1949124038	2.9413375854
0.6054169333	-0.2112309188	2.9498615265
0.6054747872	-0.2137370557	2.9511721134
0.6055326644	-0.2242483050	2.9566733837
0.6055905438	-0.2277916670	2.9585294724
0.6056483979	-0.2533228695	2.9719271660
0.6057062749	-0.2436643690	2.9668538570
0.6057641524	-0.2578116357	2.9742870331
0.6058220065	-0.2893613875	2.9909102917
0.6058798837	-0.2920670807	2.9923388958
0.6059377632	-0.3304584026	3.0126607418
0.6059956173	-0.3436034620	3.0196409225
0.6060534987	-0.3607637584	3.0287702084
0.6061113549	-0.3857704699	3.0421082973
0.6061692323	-0.3740173578	3.0358343124
0.6062271095	-0.3922246993	3.0455574989
0.6062849634	-0.4256420135	3.0634598732
0.6063428410	-0.4261940420	3.0637562275
0.6064007181	-0.4324547648	3.0671186447
0.6064585722	-0.4405763745	3.0714843273
0.6065164492	-0.4611105919	3.0825417042
0.6065743288	-0.4716197550	3.0882115364
0.6066321828	-0.4758896530	3.0905172825
0.6066900600	-0.4914926589	3.0989532471
0.6067479370	-0.4825670123	3.0941255093
0.6068057915	-0.5023085475	3.1048104763
0.6068636686	-0.5326068401	3.1212596893
0.6069215459	-0.5532000065	3.1324748993
0.6069794000	-0.5603494644	3.1363751888
0.6070372769	-0.6151501536	3.1663849354
0.6070951544	-0.6083839536	3.1626687050
0.6071530145	-0.6169402599	3.1673686504
0.6072108966	-0.6278811693	3.1733856201
0.6072687507	-0.6435959339	3.1820421219
0.6073266280	-0.6602742672	3.1912477016
0.6073845052	-0.6711114645	3.1972393990
0.6074423593	-0.6751169562	3.1994559765
0.6075002365	-0.6835961342	3.2041518688
0.6075581135	-0.6767621636	3.2003667355
0.6076159907	-0.6897623539	3.2075698376
0.6076738448	-0.6984054446	3.2123651505
0.6077317220	-0.7118291259	3.2198228836
0.6077895992	-0.7184405923	3.2235004902
0.6078474536	-0.7325956225	3.2313842773
0.6079053306	-0.7495909333	3.2408680916
0.6079632081	-0.7676193714	3.2509500980
0.6080210619	-0.7591419816	3.2462065220
0.6080789622	-0.7610213757	3.2472577095
0.6081368163	-0.7935668230	3.2654998302
0.6081946707	-0.8027310371	3.2706496716
0.6082525480	-0.8012484908	3.2698161602
0.6083104249	-0.8129099607	3.2763764858
0.6083682793	-0.8087691665	3.2740459442
0.6084261564	-0.8183662295	3.2794492245
0.6084840336	-0.8299583793	3.2859842777
0.6085418877	-0.8391290903	3.2911608219
0.6085997645	-0.8672903180	3.3070933819
0.6086576421	-0.8576239944	3.3016183376
0.6087155191	-0.8724416494	3.3100137711
0.6087733732	-0.8738906980	3.3108355999
0.6088312504	-0.8942681551	3.3224081993
0.6088891276	-0.8855300546	3.3174421787
0.6089469816	-0.9030957818	3.3274304867
0.6090048585	-0.9072889090	3.3298180103
0.6090627361	-0.9096391797	3.3311567307
0.6091205901	-0.8962562084	3.3235387802
0.6091784716	-0.8846284151	3.3169300556
0.6092363298	-0.8812924623	3.3150358200
0.6092942069	-0.8944447041	3.3225085735
0.6093520841	-0.9065454602	3.3293945789
0.6094099379	-0.9110987782	3.3319883347
0.6094678151	-0.9334797263	3.3447585106
0.6095256925	-0.9322428107	3.3440518379
0.6095835466	-0.9498097897	3.3540983200
0.6096414238	-0.9396251440	3.3482711315
0.6096993009	-0.9595175385	3.3596594334
0.6097571550	-0.9585033655	3.3590781689
0.6098150322	-0.9680594802	3.3645582199
0.6098729094	-0.9761271477	3.3691897392
0.6099307864	-0.9766700864	3.3695015907
0.6099886405	-0.9907450080	3.3775932789
0.6100465220	-0.9893874526	3.3768122196
0.6101043802	-0.9904387593	3.3774170876
0.6101622573	-0.9895527959	3.3769073486
0.6102201346	-0.9875264764	3.3757417202
0.6102779883	-1.0024532080	3.3843350410
0.6103358658	-0.9992803335	3.3825070858
0.6103937426	-0.9991210103	3.3824152946
0.6104515971	-1.0005766153	3.3832538128
0.6105094970	-1.0013811588	3.3837172985
0.6105673510	-1.0037655830	3.3850913048
0.6106252054	-1.0200929642	3.3945105076
0.6106830826	-1.0267814398	3.3983745575
0.6107409595	-1.0356565714	3.4035067558
0.6107988135	-1.0310194492	3.4008245468
0.6108566910	-1.0346585512	3.4029293060
0.6109145682	-1.0184388161	3.3935554028
0.6109724223	-1.0097351074	3.3885328770
0.6110302991	-1.0275424719	3.3988144398
0.6110881766	-1.0160082579	3.3921523094
0.6111460537	-1.0141389370	3.3910734653
0.6112039079	-1.0247684717	3.3972113132
0.6112617847	-1.0294648409	3.3999257088
0.6113196619	-1.0244536400	3.3970293999
