Day fraction since midnight on 	pH probe (pH)
0.6087399990	8.3728647232
0.6087515686	8.3561191559
0.6087631360	8.3103303909
0.6087747034	8.3986377716
0.6087862939	8.3671360016
0.6087978611	8.3233566284
0.6088094343	8.3329181671
0.6088210256	8.3746747971
0.6088325936	8.4259872437
0.6088441620	8.4463157654
0.6088557302	8.2800312042
0.6088672984	8.3283214569
0.6088788897	8.3114013672
0.6088904579	8.2056970596
0.6089020261	8.0043411255
0.6089136174	8.2743339539
0.6089251856	8.4062404633
0.6089367538	7.8724431992
0.6089483220	8.0625905991
0.6089599134	8.4007825851
0.6089714815	7.9689145088
0.6089830497	8.3194265366
0.6089946411	8.2428045273
0.6090062093	7.8140168190
0.6090177774	8.4049301147
0.6090293454	8.0920639038
0.6090409370	7.9689030647
0.6090525052	8.2987966537
0.6090640965	7.9769234657
0.6090756647	8.2510051727
0.6090872329	8.1167278290
0.6090988011	7.9336194992
0.6091103693	8.1691255569
0.6091219604	7.9330472946
0.6091335286	8.3998708725
0.6091450968	7.8251290321
0.6091566881	7.9971475601
0.6091682563	8.1851949692
0.6091798247	7.8386230469
0.6091914160	8.3076658249
0.6092029840	7.8378810883
0.6092145524	8.1598520279
0.6092261206	7.8695092201
0.6092377153	7.9773688316
0.6092492837	8.2345952988
0.6092608518	8.0997953415
0.6092724201	7.9689831734
0.6092840114	8.1376628876
0.6092955794	7.9831833839
0.6093071495	8.1525974274
0.6093187198	8.0274963379
0.6093303111	8.2790222168
0.6093418793	7.9455237389
0.6093534473	8.0256662369
0.6093650197	8.1068325043
0.6093766111	8.1744680405
0.6093881793	8.0010528564
0.6093997474	7.8514060974
0.6094113154	8.0614395142
0.6094229070	7.7719311714
0.6094344749	8.3233919144
0.6094460431	7.8002591133
0.6094576347	7.8736977577
0.6094692055	8.2226772308
0.6094807737	7.7411408424
0.6094923512	8.0280580521
0.6095039193	7.7284245491
0.6095155105	7.7892327309
0.6095270787	8.3531732559
0.6095386471	7.8606615067
0.6095502153	7.8547282219
0.6095618066	7.9210653305
0.6095733748	7.7601594925
0.6095849430	8.2622241974
0.6095965343	7.8892908096
0.6096081023	7.7452816963
0.6096196707	8.3016653061
0.6096312387	7.6860623360
0.6096428303	7.7654352188
0.6096543984	8.0414943695
0.6096659692	7.7381491661
0.6096775395	8.2472333908
0.6096891306	7.8370308876
0.6097006990	7.9516692162
0.6097122901	7.8012900352
0.6097238377	7.9417824745
0.6097354290	8.1317472458
0.6097469972	7.6140513420
0.6097585673	8.3232049942
0.6097701589	7.7607674599
0.6097817270	7.7182374001
0.6097932953	8.3059873581
0.6098048635	8.2619628906
0.6098164368	7.8726720810
0.6098280303	7.6870174408
0.6098395985	8.0121898651
0.6098511667	7.8123750687
0.6098627348	7.7192573547
0.6098743264	8.3137245178
0.6098858944	7.7487530708
0.6098974859	7.7368245125
0.6099090541	8.1905145645
0.6099206221	7.6780614853
0.6099321903	7.9340534210
0.6099437818	8.1743240356
0.6099553500	7.7190213203
