Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6527000960	4.8253140450	0.9859606624
0.6527579732	4.7250189781	1.0143878460
0.6528158311	4.6457266808	1.0371114016
0.6528737083	4.5687246323	1.0593912601
0.6529315851	4.4835090637	1.0842944384
0.6529894385	4.3986449242	1.1093553305
0.6530473156	4.3285274506	1.1302593946
0.6531051948	4.2393994331	1.1570922136
0.6531630735	4.1640982628	1.1799924374
0.6532209298	4.0838336945	1.2046362162
0.6532787874	4.0067067146	1.2285467386
0.6533366642	3.9254324436	1.2539892197
0.6533945200	3.8616490364	1.2741348743
0.6534523971	3.7822356224	1.2994387150
0.6535102739	3.7037065029	1.3247046471
0.6535681505	3.6379194260	1.3460593224
0.6536260043	3.5611727238	1.3711905479
0.6536838813	3.4945809841	1.3931891918
0.6537417466	3.4179775715	1.4187186956
0.6537996232	3.3572456837	1.4391301870
0.6538574884	3.2758965492	1.4667104483
0.6539153540	3.2157423496	1.4872828722
0.6539732190	3.1315724850	1.5163247585
0.6540310845	3.0745689869	1.5361644030
0.6540889614	3.0195684433	1.5554389954
0.6541468383	2.9255526066	1.5886892080
0.6542047151	2.8718936443	1.6078394651
0.6542625688	2.8325591087	1.6219577789
0.6543204455	2.7558655739	1.6496822834
0.6543783222	2.6743869781	1.6794240475
0.6544361759	2.6127486229	1.7021222115
0.6544940530	2.5477573872	1.7262418270
0.6545519298	2.4882421494	1.7484986782
0.6546098067	2.4238145351	1.7727767229
0.6546676601	2.3635995388	1.7956416607
0.6547255371	2.3170163631	1.8134466410
0.6547833909	2.2567050457	1.8366506100
0.6548412793	2.1786680222	1.8669304848
0.6548991370	2.1142926216	1.8921287060
0.6549570138	2.0689766407	1.9099864960
0.6550148672	2.0066947937	1.9346927404
0.6550727441	1.9561089277	1.9548988342
0.6551306209	1.9060697556	1.9750105143
0.6551884977	1.8322181702	2.0049195290
0.6552463514	1.7655230761	2.0321643353
0.6553042282	1.7071762085	2.0561826229
0.6553620938	1.6648540497	2.0737123489
0.6554199706	1.6060751677	2.0982100964
0.6554778243	1.5536834002	2.1201953888
0.6555357011	1.5764979124	2.1106042862
0.6555935780	1.5330541134	2.1288909912
0.6556514317	1.4907978773	2.1467716694
0.6557093086	1.4387962818	2.1689038277
0.6557671854	1.3920199871	2.1889331341
0.6558250618	1.3388891220	2.2118234634
0.6558829387	1.2910462618	2.2325637341
0.6559407945	1.2452592850	2.2525272369
0.6559986482	1.1910699606	2.2762997150
0.6560565250	1.1558218002	2.2918479443
0.6561144021	1.1032947302	2.3151433468
0.6561722674	1.0595728159	2.3346486092
0.6562301443	1.0174013376	2.3535616398
0.6562879980	0.9778789282	2.3713757992
0.6563458745	0.9229423404	2.3962817192
0.6564037516	0.8819824457	2.4149608612
0.6564616053	0.8328698874	2.4374821186
0.6565194818	0.8047394753	2.4504430294
0.6565773608	0.7514120340	2.4751365185
0.6566352148	0.7126501203	2.4931871891
0.6566930917	0.6812563539	2.5078697205
0.6567509721	0.6361448765	2.5290672779
0.6568088304	0.6086550355	2.5420422554
0.6568667076	0.5637276769	2.5633420944
0.6569245841	0.5310759544	2.5788960457
0.6569824381	0.4765228927	2.6050224304
0.6570403216	0.4471306205	2.6191716194
0.6570981753	0.4008364975	2.6415610313
0.6571560521	0.3660920262	2.6584484577
0.6572139289	0.3219305873	2.6800172329
0.6572717824	0.3034300208	2.6890878677
0.6573296592	0.2706960440	2.7051875591
0.6573875360	0.2378218919	2.7214214802
0.6574453900	0.2041988522	2.7380931377
0.6575032692	0.1658030003	2.7572157383
0.6575611344	0.1194258109	2.7804338932
0.6576190112	0.0970414877	2.7916877270
0.6576768646	0.0431679115	2.8189001083
0.6577347417	0.0248330217	2.8282024860
0.6577926185	-0.0003063176	2.8409912586
0.6578504951	-0.0290146191	2.8556439877
0.6579083488	-0.0710007995	2.8771669865
0.6579662302	-0.0884932950	2.8861668110
0.6580240879	-0.1273501664	2.9062278271
0.6580819645	-0.1466274709	2.9162158966
0.6581398416	-0.1843297929	2.9358189106
0.6581976953	-0.2148989141	2.9517798424
0.6582555721	-0.2528288662	2.9716675282
0.6583134488	-0.2751657069	2.9834227562
0.6583713027	-0.3059845567	2.9996948242
0.6584292023	-0.3346641362	3.0148928165
0.6584870375	-0.3490452766	3.0225338936
0.6585449147	-0.3764591515	3.0371370316
0.6586027911	-0.4186221659	3.0596930981
0.6586606682	-0.4428139329	3.0726878643
0.6587185220	-0.4554980397	3.0795166492
0.6587764011	-0.4927745759	3.0996470451
0.6588342776	-0.5056555867	3.1066246033
0.6588921354	-0.5356934667	3.1229388714
0.6589500125	-0.5712985992	3.1423549652
0.6590078754	-0.5888394117	3.1519515514
0.6590657521	-0.6080425978	3.1624813080
0.6591236055	-0.6348225474	3.1772072315
0.6591814942	-0.6561436057	3.1889660358
0.6592393479	-0.6974691153	3.2118453979
0.6592972285	-0.7126746774	3.2202930450
0.6593550823	-0.7363114953	3.2334561348
0.6594129590	-0.7587502003	3.2459874153
0.6594708359	-0.7786303163	3.2571187019
0.6595287167	-0.7938333750	3.2656495571
0.6595865707	-0.8314222097	3.2868101597
0.6596444475	-0.8337470889	3.2881221771
0.6597023012	-0.8574437499	3.3015162945
0.6597601804	-0.8838878274	3.3165094852
0.6598180571	-0.8991786838	3.3252012730
0.6598759109	-0.9192636013	3.3366429806
0.6599337878	-0.9275543094	3.3413741589
0.6599916685	-0.9563698769	3.3578555584
0.6600495241	-0.9691929221	3.3652086258
0.6601074009	-0.9844829440	3.3739914894
0.6601652549	-1.0098594427	3.3886046410
0.6602231317	-1.0157248974	3.3919887543
0.6602810108	-1.0274146795	3.3987405300
0.6603388644	-1.0423916578	3.4074051380
0.6603967326	-1.0581014156	3.4165108204
0.6604546321	-1.0655964613	3.4208612442
0.6605124862	-1.0791258812	3.4287245274
0.6605703627	-1.0906202793	3.4354152679
0.6606282214	-1.0967161655	3.4389674664
0.6606860982	-1.1052879095	3.4439668655
0.6607439751	-1.1121456623	3.4479703903
0.6608018288	-1.1155781746	3.4499754906
0.6608596941	-1.1227864027	3.4541890621
0.6609175783	-1.1289906502	3.4578187466
0.6609754361	-1.1339209080	3.4607050419
0.6610333132	-1.1407046318	3.4646792412
0.6610911669	-1.1455597878	3.4675257206
0.6611490489	-1.1489030123	3.4694867134
0.6612069254	-1.1521595716	3.4713976383
0.6612647795	-1.1570079327	3.4742441177
0.6613226560	-1.1597361565	3.4758465290
0.6613805328	-1.1608005762	3.4764719009
0.6614383869	-1.1638913155	3.4782881737
0.6614962657	-1.1689791679	3.4812796116
0.6615541248	-1.1717280149	3.4828965664
0.6616120017	-1.1739274263	3.4841907024
0.6616698785	-1.1762441397	3.4855542183
0.6617277552	-1.1771634817	3.4860954285
0.6617856091	-1.1802811623	3.4879312515
0.6618434899	-1.1813760996	3.4885761738
0.6619013435	-1.1843384504	3.4903213978
0.6619592089	-1.1851691008	3.4908108711
0.6620171084	-1.1873927116	3.4921214581
0.6620749646	-1.1887816191	3.4929401875
0.6621328224	-1.1907094717	3.4940769672
0.6621906989	-1.1919481754	3.4948074818
0.6622485757	-1.1932998896	3.4956047535
0.6623064294	-1.1948715448	3.4965319633
0.6623643111	-1.1963560581	3.4974079132
0.6624221876	-1.1978815794	3.4983081818
0.6624800416	-1.1989551783	3.4989418983
0.6625379184	-1.2006056309	3.4999163151
0.6625957952	-1.2015631199	3.5004816055
0.6626536486	-1.2028723955	3.5012547970
0.6627115311	-1.2038919926	3.5018570423
0.6627693847	-1.2041871548	3.5020313263
0.6628272616	-1.2058620453	3.5030207634
0.6628851384	-1.2059617043	3.5030796528
0.6629429922	-1.2076358795	3.5040688515
0.6630008690	-1.2087364197	3.5047192574
0.6630587455	-1.2093011141	3.5050530434
0.6631166035	-1.2101199627	3.5055370331
0.6631744806	-1.2111250162	3.5061311722
0.6632323574	-1.2121722698	3.5067503452
0.6632902112	-1.2119331360	3.5066089630
0.6633480876	-1.2125158310	3.5069534779
0.6634059647	-1.2140160799	3.5078406334
0.6634638209	-1.2142527103	3.5079805851
0.6635216978	-1.2140169144	3.5078411102
0.6635795742	-1.2156083584	3.5087823868
0.6636374279	-1.2161513567	3.5091035366
0.6636953048	-1.2168081999	3.5094921589
0.6637531818	-1.2174739838	3.5098860264
0.6638110353	-1.2176654339	3.5099992752
0.6638689124	-1.2183688879	3.5104155540
0.6639267892	-1.2198431492	3.5112879276
0.6639846427	-1.2205263376	3.5116922855
0.6640425198	-1.2204679251	3.5116577148
0.6641003966	-1.2215430737	3.5122940540
0.6641582731	-1.2219687700	3.5125460625
0.6642161343	-1.2220637798	3.5126023293
0.6642739919	-1.2227746248	3.5130231380
0.6643318687	-1.2228015661	3.5130391121
0.6643897339	-1.2240792513	3.5137956142
0.6644475989	-1.2230633497	3.5131940842
0.6645054757	-1.2242218256	3.5138800144
0.6645633528	-1.2236303091	3.5135297775
0.6646212113	-1.2252045870	3.5144619942
0.6646790881	-1.2248644829	3.5142605305
0.6647369573	-1.2261079550	3.5149970055
0.6647948229	-1.2264075279	3.5151743889
0.6648527042	-1.2266148329	3.5152971745
0.6649105853	-1.2263088226	3.5151159763
0.6649684318	-1.2278178930	3.5160098076
0.6650263089	-1.2279059887	3.5160620213
0.6650841645	-1.2291660309	3.5168085098
0.6651420665	-1.2291885614	3.5168218613
0.6651999205	-1.2298669815	3.5172238350
0.6652577743	-1.2301002741	3.5173621178
0.6653156511	-1.2305517197	3.5176296234
0.6653735164	-1.2304121256	3.5175468922
0.6654313929	-1.2307291031	3.5177347660
0.6654892620	-1.2312010527	3.5180144310
0.6655471389	-1.2313494682	3.5181024075
0.6656049929	-1.2322477102	3.5186347961
0.6656628697	-1.2330405712	3.5191047192
0.6657207504	-1.2328692675	3.5190031528
0.6657786154	-1.2340564728	3.5197069645
0.6658364695	-1.2334733009	3.5193612576
0.6658943463	-1.2342410088	3.5198163986
0.6659522227	-1.2346403599	3.5200531483
0.6660100765	-1.2349407673	3.5202312469
0.6660679536	-1.2348233461	3.5201616287
0.6661258303	-1.2351305485	3.5203437805
0.6661836843	-1.2363049984	3.5210402012
0.6662415693	-1.2358088493	3.5207459927
0.6662994251	-1.2365812063	3.5212039948
0.6663573045	-1.2366286516	3.5212321281
0.6664151810	-1.2362853289	3.5210285187
0.6664730351	-1.2375926971	3.5218038559
0.6665309119	-1.2371922731	3.5215663910
0.6665887906	-1.2371022701	3.5215129852
0.6666466444	-1.2381767035	3.5221502781
0.6667045227	-1.2375195026	3.5217604637
0.6667623996	-1.2381116152	3.5221116543
0.6668202536	-1.2384825945	3.5223317146
0.6668781324	-1.2387208939	3.5224730968
0.6669360092	-1.2393162251	3.5228261948
0.6669938629	-1.2395050526	3.5229382515
0.6670517400	-1.2395360470	3.5229566097
0.6671096186	-1.2399330139	3.5231921673
0.6671674726	-1.2398968935	3.5231707096
0.6672253494	-1.2404795885	3.5235164165
0.6672832148	-1.2404257059	3.5234844685
0.6673410957	-1.2406836748	3.5236375332
0.6673989494	-1.2408480644	3.5237350464
0.6674568261	-1.2410807610	3.5238730907
0.6675147027	-1.2415560484	3.5241551399
0.6675725568	-1.2414925098	3.5241174698
0.6676304333	-1.2417119741	3.5242476463
0.6676883104	-1.2419799566	3.5244066715
0.6677461639	-1.2423925400	3.5246515274
0.6678040458	-1.2431324720	3.5250906944
0.6678619019	-1.2427376509	3.5248563290
0.6679197835	-1.2429890633	3.5250055790
0.6679776603	-1.2427532673	3.5248656273
0.6680355144	-1.2430946827	3.5250682831
0.6680933911	-1.2431200743	3.5250833035
0.6681512677	-1.2435832024	3.5253582001
0.6682091214	-1.2443294525	3.5258011818
0.6682669982	-1.2437049150	3.5254304409
0.6683248753	-1.2443162203	3.5257933140
0.6683827522	-1.2439326048	3.5255656242
0.6684406290	-1.2443519831	3.5258145332
0.6684984709	-1.2445459366	3.5259296894
0.6685563526	-1.2440841198	3.5256555080
0.6686142176	-1.2446978092	3.5260198116
0.6686720798	-1.2447725534	3.5260641575
0.6687299566	-1.2446660995	3.5260009766
0.6687878216	-1.2454267740	3.5264525414
0.6688456984	-1.2449982166	3.5261981487
0.6689035522	-1.2457219362	3.5266277790
0.6689614373	-1.2447725534	3.5260641575
0.6690192913	-1.2456495762	3.5265848637
0.6690771678	-1.2455937862	3.5265517235
0.6691350446	-1.2453255653	3.5263924599
0.6691929215	-1.2450563908	3.5262327194
0.6692507910	-1.2455495596	3.5265254974
0.6693086584	-1.2456058264	3.5265588760
0.6693665118	-1.2454147339	3.5264453888
0.6694243910	-1.2457994223	3.5266737938
0.6694822527	-1.2456439734	3.5265815258
0.6695401293	-1.2456387281	3.5265784264
0.6695980061	-1.2449158430	3.5261492729
0.6696558645	-1.2411036491	3.5238866806
0.6697137436	-1.2417947054	3.5242967606
0.6697715970	-1.2424283028	3.5246727467
0.6698294739	-1.2423499823	3.5246262550
0.6698873510	-1.2431172132	3.5250816345
0.6699452162	-1.2442812920	3.5257725716
